Taxpayer Type,Tax Year,Transaction Date,Income Source,Deduction Type,State,Income,Deductions,Taxable Income,Tax Rate,Tax Owed
Non-Profit,2019,2019-05-11,Investment,Charitable Contributions,IL,43319.42,6031.16,37288.259999999995,0.13472969424258055,5023.84
Partnership,2019,2019-04-08,Royalties,Mortgage Interest,PA,714839.81,156074.41,558765.4,0.10786613819497717,60271.87
Non-Profit,2020,2020-05-20,Investment,Mortgage Interest,GA,894428.51,182288.61,712139.9,0.1546623750039857,110141.25
Corporation,2019,2019-06-15,Business Income,Mortgage Interest,TX,738773.52,198777.14,539996.38,0.13772243169273768,74369.61
Individual,2020,2020-02-23,Capital Gains,Education Expenses,CA,996000.94,224194.88,771806.0599999999,0.30342603657601336,234186.05
Trust,2019,2019-07-06,Royalties,Business Expenses,FL,187093.79,20336.18,166757.61000000002,0.26226026459206075,43733.89
Partnership,2022,2022-05-05,Capital Gains,Education Expenses,TX,292686.9,83526.06,209160.84000000003,0.2202024125839121,46057.72
Individual,2021,2021-09-16,Salary,Mortgage Interest,OH,237766.86,70660.98,167105.88,0.3205054672210502,53558.35
Corporation,2021,2021-01-14,Rental,Medical Expenses,NY,770584.37,220032.11,550552.26,0.2423723827384842,133438.66
Corporation,2023,2023-04-16,Royalties,Mortgage Interest,PA,510013.01,138805.47,371207.54000000004,0.3546540482017352,131650.26
Corporation,2020,2020-07-12,Investment,Charitable Contributions,NC,226409.64,24308.47,202101.17,0.10573273744654087,21368.71
Individual,2019,2019-05-26,Business Income,Education Expenses,PA,358179.81,97836.94,260342.87,0.15718228513558757,40921.29
Partnership,2019,2019-07-17,Salary,Charitable Contributions,TX,963889.99,66133.44,897756.55,0.22298141175965433,200183.02
Corporation,2023,2023-06-29,Capital Gains,Charitable Contributions,CA,763375.58,198809.22,564566.36,0.23603484123546936,133257.33
Partnership,2022,2022-11-16,Investment,Mortgage Interest,TX,830601.64,97797.76,732803.88,0.2449495741094867,179500.0
Non-Profit,2019,2019-02-07,Royalties,Education Expenses,GA,620316.93,153450.13,466866.80000000005,0.1680163413732415,78441.25
Trust,2021,2021-11-06,Capital Gains,Business Expenses,GA,156045.29,15038.38,141006.91,0.31373738430410825,44239.14
Individual,2020,2020-02-21,Rental,Education Expenses,CA,874993.5,166374.54,708618.96,0.22188729885585545,157233.55
Trust,2020,2020-01-10,Rental,Business Expenses,CA,176193.72,24908.97,151284.75,0.17207069605740427,26031.67
Corporation,2020,2020-06-21,Capital Gains,Charitable Contributions,PA,920032.22,108095.74,811936.48,0.1542061280148307,125205.58
Trust,2023,2023-03-19,Business Income,Business Expenses,MI,47459.5,7843.4,39616.1,0.21852765818170863,8657.21
Non-Profit,2023,2023-07-10,Investment,Business Expenses,TX,919032.05,269171.27,649860.78,0.1680683321600703,109221.02
Individual,2019,2019-07-01,Business Income,Charitable Contributions,CA,336760.66,20158.35,316602.31,0.12630808497502927,39989.43
